id	speed	density	flow
-1	65.000000	0.000000	0.000000
-2	65.000000	0.293127	8.385043
-3	65.000000	0.290841	8.332702
-4	65.000000	0.296026	8.718699
-5	65.000000	0.527565	15.586635
-6	65.000000	0.522902	15.496182
-7	65.000000	0.521559	15.405434
-8	65.000000	0.503278	14.839577
-9	65.000000	0.443341	13.107175
-10	65.000000	0.439820	13.027601
-11	65.000000	0.520404	11.880895
-12	65.000000	0.338382	11.818225
-13	65.000000	0.334314	11.756358
-14	65.000000	0.531592	13.128112
-15	65.000000	0.314577	12.513959
-16	65.000000	0.414455	12.439759
-17	65.000000	0.395680	11.841241
-18	65.000000	0.393717	11.773006
-19	65.000000	0.314820	10.929298
-20	65.000000	0.282986	10.879968
-21	65.000000	0.288949	10.829002
-22	65.000000	0.266093	10.020821
-23	65.000000	0.543997	9.179657
-24	65.000000	0.306822	9.246744
-25	65.000000	0.283802	8.459813
-26	65.000000	0.243336	8.272779
-27	65.000000	0.250377	8.236752
-28	65.000000	0.244083	8.274710
-29	65.000000	0.434375	8.218113
-30	65.000000	0.286326	8.182887
-31	65.000000	0.263087	7.542749
-32	65.000000	0.261254	7.514681
-33	65.000000	0.256220	6.970574
-34	65.000000	0.256093	6.946931
-35	65.000000	0.254190	6.924750
-36	65.000000	0.262727	6.902794
-37	65.000000	0.262940	6.346991
-38	65.000000	0.193974	6.330697
-39	65.000000	0.221226	6.395088
-40	65.000000	0.225448	6.375738
-41	65.000000	0.221407	6.356372
-42	65.000000	0.201161	5.829492
-43	65.000000	0.204413	5.966792
-44	65.000000	0.284381	5.913088
-45	65.000000	0.277621	5.885136
-46	65.000000	0.252350	5.858876
-47	65.000000	0.230696	5.834243
-48	65.000000	0.314231	5.329206
-49	65.000000	0.250958	5.303174
-50	65.000000	0.182793	5.261433
-51	65.000000	0.182632	5.243219
-52	65.000000	0.182581	5.226887
-53	65.000000	0.165437	4.766488
-54	65.000000	0.165652	4.758143
-55	65.000000	0.152468	4.397913
-56	65.000000	0.162352	4.654539
-57	65.000000	0.161900	4.657585
-58	65.000000	0.162990	4.665077
-59	65.000000	0.162787	4.852086
-60	65.000000	0.098055	2.808236
-61	65.000000	0.102156	2.789786
-62	65.000000	0.091667	2.809003
-63	65.000000	0.100583	2.824272
-64	65.000000	0.098937	2.849480
-65	65.000000	0.104614	2.878240
-66	65.000000	0.102651	2.908192
-67	65.000000	0.103876	2.940013
-68	65.000000	0.106551	2.973978
-69	65.000000	0.103939	3.008151
-70	65.000000	0.134300	3.100767
-71	65.000000	0.083414	3.129593
-72	65.000000	0.110551	3.168383
-73	65.000000	0.111735	3.208178
-74	65.000000	0.114078	3.249262
-75	65.000000	0.113979	3.290659
-76	65.000000	0.142996	3.271848
-77	65.000000	0.113993	3.312615
-78	65.000000	0.104405	2.829035
-79	65.000000	0.088751	2.872937
-80	65.000000	0.121823	2.827877
-81	65.000000	0.110612	2.882600
-82	65.000000	0.112442	2.937474
-83	65.000000	0.081372	2.134965
-84	65.000000	0.091025	2.105263
-85	65.000000	0.102467	2.314012
-86	65.000000	0.082248	2.357296
-87	65.000000	0.086774	2.403079
-88	65.000000	0.128496	2.074919
-89	65.000000	0.093908	2.124750
-90	65.000000	0.099755	2.210231
-91	65.000000	0.064969	2.244857
-92	65.000000	0.066573	2.279607
-93	65.000000	0.079950	2.320345
-94	65.000000	0.079448	2.359660
-95	65.000000	0.083368	2.399716
-96	65.000000	0.084502	2.439124
-97	65.000000	0.085606	2.477848
-98	65.000000	0.090350	2.393220
-99	65.000000	0.075125	2.425203
-100	65.000000	0.085216	2.460031
-101	65.000000	0.069096	2.028756
-102	65.000000	0.058882	2.054000
-103	65.000000	0.065949	1.636158
-104	65.000000	0.054997	1.661282
-105	65.000000	0.054265	1.565332
-106	65.000000	0.055123	1.587638
-107	65.000000	0.055579	1.609023
-108	65.000000	0.055973	1.629454
-109	65.000000	0.057008	1.649139
-110	65.000000	0.057498	1.667887
-111	65.000000	0.057954	1.685706
-112	65.000000	0.058740	1.702716
-113	65.000000	0.057677	1.718467
-114	65.000000	0.059658	1.733815
-115	65.000000	0.060520	1.748500
-116	65.000000	0.061137	1.762522
-117	65.000000	0.061320	1.775863
-118	65.000000	0.062333	1.750332
-119	65.000000	0.062802	1.762666
-120	65.000000	0.062953	1.774513
-121	65.000000	0.064492	1.849103
-122	65.000000	0.058502	1.721151
-123	65.000000	0.060239	1.729715
-124	65.000000	0.060908	1.710599
-125	65.000000	0.061399	1.717973
-126	65.000000	0.061435	1.724461
-127	65.000000	0.062147	1.729934
-128	65.000000	0.065263	1.834955
-129	65.000000	0.051809	1.837594
-130	65.000000	0.049653	1.839260
-131	65.000000	0.087459	1.685382
-132	65.000000	0.072793	1.568225
-133	65.000000	0.047092	1.563744
-134	65.000000	0.046428	1.632266
-135	65.000000	0.056147	1.625617
-136	65.000000	0.058856	1.650358
-137	65.000000	0.058768	1.642515
-138	65.000000	0.058301	1.634535
-139	65.000000	0.056822	1.632068
-140	65.000000	0.056711	1.624261
-141	65.000000	0.056644	1.616604
-142	65.000000	0.049544	1.629005
-143	65.000000	0.058882	1.621632
-144	65.000000	0.079571	1.575417
-145	65.000000	0.000000	0.000000
-146	65.000000	0.053107	1.497192
-147	65.000000	0.052723	1.487840
-148	65.000000	0.036873	1.041697
-149	65.000000	0.065712	1.862295
-150	65.000000	0.065135	1.851486
-151	65.000000	0.065015	1.840631
-152	65.000000	0.081811	2.304540
-153	65.000000	0.072049	2.035494
-154	65.000000	0.071541	2.023123
-155	65.000000	0.140676	3.050013
-156	65.000000	0.091301	3.034396
-157	65.000000	0.089864	3.018575
-158	65.000000	0.066129	1.536528
-159	65.000000	0.039166	1.464920
-160	65.000000	0.051546	1.456106
-161	65.000000	0.049208	1.386067
-162	65.000000	0.048974	1.378075
-163	65.000000	0.063322	2.156364
-164	65.000000	0.059797	2.146149
-165	65.000000	0.058632	2.136500
-166	65.000000	0.055419	1.976821
-167	65.000000	0.110945	1.810765
-168	65.000000	0.062853	1.684641
-169	65.000000	0.058129	1.541331
-170	65.000000	0.047576	1.685267
-171	65.000000	0.048740	1.677959
-172	65.000000	0.047005	1.599054
-173	65.000000	0.085365	1.587926
-174	65.000000	0.055972	1.581214
-175	65.000000	0.051433	1.457522
-176	65.000000	0.051030	1.452107
-177	65.000000	0.069861	1.963758
-178	65.000000	0.069825	1.957086
-179	65.000000	0.069317	1.950826
-180	65.000000	0.072490	1.944573
-181	65.000000	0.071125	1.788135
-182	65.000000	0.052742	1.783456
