id	speed 	density	flow
-1	65.000000	0.000000	0.000000
-2	65.000000	0.230645	6.635699
-3	65.000000	0.231612	6.673984
-4	65.000000	0.238513	7.065294
-5	65.000000	0.419103	12.455872
-6	65.000000	0.420427	12.533450
-7	65.000000	0.424438	12.611283
-8	65.000000	0.414540	12.295729
-9	65.000000	0.393543	11.695829
-10	65.000000	0.394584	11.748984
-11	65.000000	0.473357	10.863605
-12	65.000000	0.310613	10.905468
-13	65.000000	0.309661	10.946795
-14	65.000000	0.498746	12.381997
-15	65.000000	0.302189	12.081106
-16	65.000000	0.402123	12.129930
-17	65.000000	0.393654	11.836201
-18	65.000000	0.395434	11.880238
-19	65.000000	0.318794	11.119644
-20	65.000000	0.288679	11.151488
-21	65.000000	0.297022	11.184396
-22	65.000000	0.281452	10.647075
-23	65.000000	0.597828	10.130748
-24	65.000000	0.340041	10.290972
-25	65.000000	0.325126	9.729201
-26	65.000000	0.280698	9.579373
-27	65.000000	0.290790	9.601815
-28	65.000000	0.285304	9.706995
-29	65.000000	0.513216	9.741900
-30	65.000000	0.340573	9.763328
-31	65.000000	0.321339	9.237268
-32	65.000000	0.320784	9.249248
-33	65.000000	0.316188	8.620772
-34	65.000000	0.317465	8.628738
-35	65.000000	0.316404	8.635223
-36	65.000000	0.328323	8.640821
-37	65.000000	0.337005	8.145824
-38	65.000000	0.249217	8.144434
-39	65.000000	0.285004	8.249632
-40	65.000000	0.291264	8.248076
-41	65.000000	0.286857	8.246747
-42	65.000000	0.266938	7.744225
-43	65.000000	0.271887	7.945608
-44	65.000000	0.379582	7.902461
-45	65.000000	0.371843	7.892849
-46	65.000000	0.339095	7.883470
-47	65.000000	0.310934	7.874001
-48	65.000000	0.434504	7.375527
-49	65.000000	0.347728	7.353300
-50	65.000000	0.253584	7.302875
-51	65.000000	0.253563	7.281459
-52	65.000000	0.253531	7.257339
-53	65.000000	0.234958	6.763222
-54	65.000000	0.234677	6.731100
-55	65.000000	0.215218	6.195365
-56	65.000000	0.228033	6.520081
-57	65.000000	0.225967	6.478794
-58	65.000000	0.225711	6.433829
-59	65.000000	0.223422	6.627390
-60	65.000000	0.159993	4.548140
-61	65.000000	0.163824	4.437412
-62	65.000000	0.144564	4.391108
-63	65.000000	0.155542	4.326529
-64	65.000000	0.149940	4.275745
-65	65.000000	0.155061	4.222110
-66	65.000000	0.148778	4.169960
-67	65.000000	0.147111	4.118006
-68	65.000000	0.147320	4.065885
-69	65.000000	0.140367	4.016381
-70	65.000000	0.176028	4.017705
-71	65.000000	0.107323	3.980426
-72	65.000000	0.138826	3.932993
-73	65.000000	0.136948	3.886983
-74	65.000000	0.136451	3.842103
-75	65.000000	0.133109	3.799360
-76	65.000000	0.162081	3.666968
-77	65.000000	0.126308	3.629828
-78	65.000000	0.120123	3.215946
-79	65.000000	0.099863	3.194603
-80	65.000000	0.132979	3.051449
-81	65.000000	0.117535	3.028733
-82	65.000000	0.116397	3.007549
-83	65.000000	0.079413	2.067118
-84	65.000000	0.087001	1.996715
-85	65.000000	0.096014	2.151895
-86	65.000000	0.075894	2.158926
-87	65.000000	0.078807	2.166278
-88	65.000000	0.118782	1.897335
-89	65.000000	0.084446	1.890388
-90	65.000000	0.087230	1.912690
-91	65.000000	0.055787	1.907932
-92	65.000000	0.056142	1.903146
-93	65.000000	0.066027	1.897482
-94	65.000000	0.064316	1.891926
-95	65.000000	0.066145	1.886118
-96	65.000000	0.065742	1.880196
-97	65.000000	0.065335	1.874088
-98	65.000000	0.067553	1.773520
-99	65.000000	0.055240	1.767684
-100	65.000000	0.061523	1.760655
-101	65.000000	0.052392	1.517720
-102	65.000000	0.043615	1.501041
-103	65.000000	0.051471	1.252426
-104	65.000000	0.041231	1.221216
-105	65.000000	0.038995	1.102565
-106	65.000000	0.037968	1.071422
-107	65.000000	0.036668	1.039582
-108	65.000000	0.035344	1.007094
-109	65.000000	0.034407	0.973679
-110	65.000000	0.033137	0.939826
-111	65.000000	0.031866	0.905809
-112	65.000000	0.030784	0.871754
-113	65.000000	0.028832	0.839032
-114	65.000000	0.028406	0.806272
-115	65.000000	0.026628	0.751389
-116	65.000000	0.025621	0.721595
-117	65.000000	0.024497	0.693309
-118	65.000000	0.023721	0.651208
-119	65.000000	0.022792	0.625641
-120	65.000000	0.021809	0.601466
-121	65.000000	0.021361	0.599417
-122	65.000000	0.016609	0.479424
-123	65.000000	0.016451	0.463823
-124	65.000000	0.016020	0.442293
-125	65.000000	0.015603	0.429911
-126	65.000000	0.015153	0.419919
-127	65.000000	0.014971	0.412831
-128	65.000000	0.015484	0.433120
-129	65.000000	0.012218	0.432787
-130	65.000000	0.011714	0.435070
-131	65.000000	0.015965	0.314272
-132	65.000000	0.014262	0.315639
-133	65.000000	0.009725	0.332695
-134	65.000000	0.010109	0.366897
-135	65.000000	0.013093	0.391903
-136	65.000000	0.014764	0.428268
-137	65.000000	0.015870	0.458814
-138	65.000000	0.016933	0.490871
-139	65.000000	0.017697	0.525198
-140	65.000000	0.018915	0.559278
-141	65.000000	0.020199	0.594544
-142	65.000000	0.018689	0.633224
-143	65.000000	0.023698	0.671834
-144	65.000000	0.034911	0.710430
-145	65.000000	0.000000	0.000000
-146	65.000000	0.041794	1.185046
-147	65.000000	0.041994	1.191887
-148	65.000000	0.029724	0.844570
-149	65.000000	0.052229	1.488991
-150	65.000000	0.052397	1.498262
-151	65.000000	0.052936	1.507572
-152	65.000000	0.067424	1.910562
-153	65.000000	0.063987	1.817210
-154	65.000000	0.064215	1.825474
-155	65.000000	0.128052	2.790890
-156	65.000000	0.083846	2.801322
-157	65.000000	0.083272	2.811890
-158	65.000000	0.062093	1.450365
-159	65.000000	0.037641	1.414922
-160	65.000000	0.050043	1.420722
-161	65.000000	0.048985	1.386292
-162	65.000000	0.049217	1.391449
-163	65.000000	0.064132	2.194267
-164	65.000000	0.061032	2.200861
-165	65.000000	0.060283	2.207092
-166	65.000000	0.058641	2.101200
-167	65.000000	0.121984	1.999366
-168	65.000000	0.069730	1.876801
-169	65.000000	0.066656	1.774274
-170	65.000000	0.054866	1.950923
-171	65.000000	0.056591	1.955476
-172	65.000000	0.054942	1.875798
-173	65.000000	0.100876	1.882658
-174	65.000000	0.066582	1.886741
-175	65.000000	0.062825	1.785067
-176	65.000000	0.062661	1.787376
-177	65.000000	0.086199	2.428314
-178	65.000000	0.086547	2.430571
-179	65.000000	0.086273	2.432408
-180	65.000000	0.090582	2.434006
-181	65.000000	0.091148	2.294620
-182	65.000000	0.067758	2.294221
-183	65.000000	0.076255	2.186939
-184	65.000000	0.077932	2.186527
-185	65.000000	0.076765	2.186175
-186	65.000000	0.071391	2.052945
-187	65.000000	0.063528	1.842794
-188	65.000000	0.067204	1.874276
-189	65.000000	0.065867	1.872028
-190	65.000000	0.060038	1.869805
-191	65.000000	0.055873	1.867547
-192	65.000000	0.076240	1.750550
-193	65.000000	0.061624	1.745042
-194	65.000000	0.062194	1.771714
-195	65.000000	0.062208	1.766509
-196	65.000000	0.062199	1.760649
-197	65.000000	0.057643	1.640756
-198	65.000000	0.057555	1.632957
-199	65.000000	0.075482	2.124702
-200	65.000000	0.060372	1.751827
-201	65.000000	0.059826	1.740747
-202	65.000000	0.059786	1.728675
-203	65.000000	0.050012	1.476187
-204	65.000000	0.036042	1.012969
-205	65.000000	0.039867	1.061223
-206	65.000000	0.035158	1.050174
-207	65.000000	0.037182	1.051035
-208	65.000000	0.035832	1.038700
-209	65.000000	0.037057	1.025683
-210	65.000000	0.035562	1.013007
-211	65.000000	0.035156	1.000389
-212	65.000000	0.035201	0.987732
-213	65.000000	0.033529	0.975701
-214	65.000000	0.039387	0.898913
-215	65.000000	0.023691	0.890683
-216	65.000000	0.030917	0.880008
-217	65.000000	0.030491	0.869715
-218	65.000000	0.030378	0.859673
-219	65.000000	0.029647	0.850104
-220	65.000000	0.036665	0.920739
-221	65.000000	0.027683	0.911402
-222	65.000000	0.021478	0.591779
-223	65.000000	0.017663	0.587866
-224	65.000000	0.032771	0.697629
-225	65.000000	0.028737	0.692543
-226	65.000000	0.028446	0.687719
-227	65.000000	0.019419	0.473005
-228	65.000000	0.019517	0.553322
-229	65.000000	0.014418	0.408735
-230	65.000000	0.011438	0.410153
-231	65.000000	0.011650	0.411522
-232	65.000000	0.017987	0.361106
-233	65.000000	0.012700	0.359676
-234	65.000000	0.015087	0.328632
-235	65.000000	0.009681	0.327815
-236	65.000000	0.009957	0.326975
-237	65.000000	0.011511	0.326014
-238	65.000000	0.011213	0.325059
-239	65.000000	0.011535	0.324060
-240	65.000000	0.011465	0.323042
-241	65.000000	0.011394	0.321992
-242	65.000000	0.016116	0.414282
-243	65.000000	0.012763	0.412971
-244	65.000000	0.014460	0.411302
-245	65.000000	0.012317	0.354530
-246	65.000000	0.010110	0.350695
-247	65.000000	0.012899	0.275033
-248	65.000000	0.010233	0.268422
-249	65.000000	0.012420	0.347274
-250	65.000000	0.012090	0.337461
-251	65.000000	0.011682	0.327421
-252	65.000000	0.011258	0.317185
-253	65.000000	0.010960	0.306654
-254	65.000000	0.010556	0.295987
-255	65.000000	0.010151	0.285270
-256	65.000000	0.009805	0.274543
-257	65.000000	0.009186	0.264236
-258	65.000000	0.009048	0.253917
-259	65.000000	0.008476	0.236638
-260	65.000000	0.008156	0.227255
-261	65.000000	0.007804	0.218342
-262	65.000000	0.008054	0.224241
-263	65.000000	0.007736	0.215439
-264	65.000000	0.007398	0.207117
-265	65.000000	0.006384	0.178676
-266	65.000000	0.004964	0.142911
-267	65.000000	0.004918	0.138260
-268	65.000000	0.005036	0.141079
-269	65.000000	0.004906	0.137119
-270	65.000000	0.004762	0.133920
-271	65.000000	0.004704	0.131644
-272	65.000000	0.003780	0.106709
-273	65.000000	0.002994	0.106625
-274	65.000000	0.002870	0.107184
-275	65.000000	0.003876	0.077338
-276	65.000000	0.005016	0.106071
-277	65.000000	0.003307	0.111444
-278	65.000000	0.002810	0.100883
-279	65.000000	0.003610	0.107717
-280	65.000000	0.003663	0.107012
-281	65.000000	0.003936	0.114644
-282	65.000000	0.004201	0.122657
-283	65.000000	0.004388	0.129212
-284	65.000000	0.004691	0.137596
-285	65.000000	0.005006	0.146265
-286	65.000000	0.004214	0.146396
-287	65.000000	0.005344	0.155294
-288	65.000000	0.008914	0.184734
-289	65.000000	0.190609	7.775553
-290	65.000000	0.351655	7.802222
-291	65.000000	0.100252	1.855312
-292	65.000000	0.000000	0.000000
-293	65.000000	0.025452	0.779870
-294	65.000000	0.000000	0.000000
-295	65.000000	0.000000	0.000000
-296	65.000000	0.022047	0.387832
-297	65.000000	0.014923	0.383892
-298	65.000000	0.000000	0.000000
-299	65.000000	0.031232	0.685428
-300	65.000000	0.037017	0.693786
-301	65.000000	0.000000	0.000000
-302	65.000000	0.000000	0.000000
-303	65.000000	0.000000	0.000000
-304	65.000000	0.035802	0.654427
-305	65.000000	0.000000	0.000000
-306	65.000000	0.031782	0.643056
-307	65.000000	0.000000	0.000000
-308	65.000000	0.025684	0.635694
-309	65.000000	0.000000	0.000000
-310	65.000000	0.000000	0.000000
-311	65.000000	0.017759	0.589979
-312	65.000000	0.000000	0.000000
